,fs,t,y
5471,,332.0333048,1.8701171875
5472,,332.0510283,1.77734375
5473,,332.088094,1.6845703125
5474,,332.0887834,1.591796875
5475,,332.1230212,1.4794921875
5476,,332.1437634,1.3720703125
5477,,332.1527604,1.2646484375
5478,,332.1743466,1.162109375
5479,,332.2219454,1.0693359375
5480,,332.22254,1.0107421875
5481,,332.2298556,0.95703125
5482,,332.2657684,0.8935546875
5483,,332.2706905,0.8154296875
5484,,332.3085685,0.7275390625
5485,,332.3139981,0.634765625
5486,,332.363094,0.5615234375
5487,,332.3636672,0.5419921875
5488,,332.3756069,0.6689453125
5489,,332.3913166,0.9423828125
5490,,332.4264865,1.337890625
5491,,332.4314685,1.689453125
5492,,332.4528633,1.9970703125
5493,,332.5027953,2.2216796875
5494,,332.5032751,2.3876953125
5495,,332.5114402,2.470703125
5496,,332.5463702,2.5146484375
5497,,332.5685027,2.490234375
5498,,332.5690865,2.431640625
5499,,332.6043031,2.3486328125
5500,,332.6247287,2.255859375
5501,,332.6327244,2.16796875
5502,,332.6694206,2.099609375
5503,,332.6720691,2.03125
5504,,332.7098517,1.9580078125
5505,,332.7114817,1.8896484375
5506,,332.732285,1.8212890625
5507,,332.7522535,1.7626953125
5508,,332.7960972,1.708984375
5509,,332.7966751,1.640625
5510,,332.8288012,1.5576171875
5511,,332.8348154,1.455078125
5512,,332.8538385,1.3525390625
5513,,332.8898469,1.2548828125
5514,,332.894502,1.1669921875
5515,,332.916307,1.0888671875
5516,,332.934818,1.015625
5517,,332.9516528,0.9619140625
5518,,332.9885252,0.91796875
5519,,332.9929651,0.8740234375
5520,,333.0312488,0.8740234375
5521,,333.0318667,0.9912109375
5522,,333.0694796,1.2744140625
5523,,333.0973626,1.5869140625
5524,,333.0979023,1.8994140625
5525,,333.1120367,2.1435546875
5526,,333.1587011,2.3486328125
5527,,333.1590955,2.48046875
5528,,333.1709496,2.568359375
5529,,333.2083783,2.5732421875
5530,,333.2135975,2.529296875
5531,,333.2487017,2.44140625
5532,,333.2538661,2.3388671875
5533,,333.2887767,2.2412109375
5534,,333.3096266,2.158203125
5535,,333.313133,2.109375
5536,,333.349307,2.0556640625
5537,,333.3519014,2.001953125
5538,,333.3887644,1.9384765625
5539,,333.4098601,1.875
5540,,333.4141669,1.8017578125
5541,,333.4368187,1.7236328125
5542,,333.4511672,1.6357421875
5543,,333.4987915,1.5478515625
5544,,333.4992565,1.4501953125
5545,,333.5113796,1.337890625
5546,,333.5482828,1.2255859375
5547,,333.5762855,1.11328125
5548,,333.5766383,1.005859375
5549,,333.5946516,0.8935546875
5550,,333.6389466,0.791015625
5551,,333.6393093,0.68359375
5552,,333.6569801,0.5810546875
5553,,333.6714173,0.5615234375
5554,,333.7072043,0.7275390625
5555,,333.7277864,1.005859375
5556,,333.7327746,1.3720703125
5557,,333.7795778,1.69921875
5558,,333.7800837,1.9775390625
5559,,333.7944035,2.1630859375
5560,,333.8307206,2.2900390625
5561,,333.8574167,2.333984375
5562,,333.8577777,2.333984375
5563,,333.8733983,2.2900390625
5564,,333.9086878,2.20703125
5565,,333.92843,2.109375
5566,,333.9360217,2.0166015625
5567,,333.9551196,1.9189453125
5568,,333.975688,1.8359375
5569,,334.0136823,1.7626953125
5570,,334.0141525,1.6943359375
5571,,334.0337411,1.630859375
5572,,334.0701115,1.5625
5573,,334.0750546,1.50390625
5574,,334.1240312,1.435546875
5575,,334.1244416,1.3671875
5576,,334.1555779,1.298828125
5577,,334.1561512,1.2255859375
5578,,334.1715646,1.1474609375
5579,,334.2088516,1.083984375
5580,,334.2317185,1.0107421875
5581,,334.2320809,0.927734375
5582,,334.2680036,0.8447265625
5583,,334.2964955,0.76171875
5584,,334.2970767,0.6787109375
5585,,334.3331681,0.6103515625
5586,,334.3359539,0.625
5587,,334.3563386,0.7861328125
5588,,334.3775932,1.0791015625
5589,,334.395213,1.416015625
5590,,334.4352454,1.7529296875
5591,,334.4358261,2.0068359375
5592,,334.4703287,2.2021484375
5593,,334.476783,2.3095703125
5594,,334.5122603,2.353515625
5595,,334.5159925,2.34375
5596,,334.5492218,2.275390625
5597,,334.5707904,2.1728515625
5598,,334.5712428,2.0654296875
5599,,334.6083024,1.9677734375
5600,,334.6296176,1.8701171875
5601,,334.6348746,1.7822265625
5602,,334.6712091,1.7041015625
5603,,334.700814,1.6357421875
5604,,334.7011694,1.572265625
5605,,334.7188717,1.5185546875
5606,,334.7339398,1.4599609375
5607,,334.7698868,1.4111328125
5608,,334.773375,1.3525390625
5609,,334.8110837,1.2939453125
5610,,334.8156391,1.23046875
5611,,334.8506449,1.1767578125
5612,,334.8552839,1.11328125
5613,,334.9024661,1.0400390625
5614,,334.9028983,0.966796875
5615,,334.9234403,0.888671875
5616,,334.9360057,0.8154296875
5617,,334.9804271,0.751953125
5618,,334.980931,0.7080078125
5619,,334.996125,0.7373046875
5620,,335.0311504,0.9521484375
5621,,335.0360628,1.2646484375
5622,,335.0873695,1.6162109375
5623,,335.0879504,1.9140625
5624,,335.0982024,2.1533203125
5625,,335.1151103,2.3291015625
5626,,335.1497364,2.44140625
5627,,335.1554447,2.490234375
5628,,335.189664,2.470703125
5629,,335.2105794,2.412109375
5630,,335.2158497,2.3291015625
5631,,335.2591449,2.2314453125
5632,,335.2596135,2.138671875
5633,,335.2786144,2.05078125
5634,,335.2949109,1.97265625
5635,,335.3305199,1.9140625
5636,,335.336025,1.8603515625
5637,,335.3725369,1.8115234375
5638,,335.3754878,1.7578125
5639,,335.4123402,1.7041015625
5640,,335.4169953,1.650390625
5641,,335.4541403,1.591796875
5642,,335.45471,1.5283203125
5643,,335.493702,1.4794921875
5644,,335.4940807,1.4208984375
5645,,335.5407425,1.3671875
5646,,335.5413111,1.298828125
5647,,335.5719457,1.23046875
5648,,335.5777564,1.15234375
5649,,335.6164471,1.083984375
5650,,335.6193942,1.0302734375
5651,,335.6343013,1.025390625
5652,,335.655723,1.162109375
5653,,335.6761407,1.42578125
5654,,335.7251504,1.748046875
5655,,335.7257382,2.05078125
5656,,335.735837,2.3291015625
5657,,335.7718799,2.5341796875
5658,,335.7786165,2.6953125
5659,,335.7977882,2.7978515625
5660,,335.8335751,2.8271484375
5661,,335.8546386,2.79296875
5662,,335.855292,2.734375
5663,,335.8965273,2.65625
5664,,335.8971811,2.5634765625
5665,,335.9333239,2.4658203125
5666,,335.9366805,2.3779296875
5667,,335.9755439,2.294921875
5668,,335.980072,2.2119140625
5669,,336.0160638,2.1435546875
5670,,336.0166327,2.0751953125
5671,,336.0675581,2.021484375
5672,,336.0680787,1.953125
5673,,336.0769805,1.884765625
5674,,336.112218,1.8115234375
5675,,336.1180242,1.7529296875
5676,,336.1385691,1.6796875
